Location,loc1,loc2,loc3,latitudes,longitudes
Madaripur,Madaripur,,,23.1675473,90.2049733
Satkhira,Satkhira,,,22.7166509,89.0749857
Cumilla,Cumilla,,,23.4610615,91.1808748
Jessore,Jessore,,,23.084244400000003,89.12469390817779
"Bhaluka, mymensingh",Bhaluka,mymensingh,,24.404455,90.3863536
"Ukhia, Cox's Bazar",Ukhia,Cox's Bazar,,21.2443749,92.1388605
"Ukhia, Cox's Bazar",Ukhia,Cox's Bazar,,21.2443749,92.1388605
"Mirsarai, Chittagong",Mirsarai,Chittagong,,22.7751713,91.5582964
"Ghorashal-Tongi road,Narsingdi",Ghorashal-Tongi road,Narsingdi,,23.9156451,90.6981963
"Shivalaya, Manikganj",Shivalaya,Manikganj,,23.871163,89.9987833
Savar,Savar,,,23.8477,90.2587
"Tentulia, Panchagarh",Tentulia,Panchagarh,,26.32215705,88.5477309406956
"Dhanmondi, Dhaka",Dhanmondi,Dhaka,,23.7424897,90.38059319999999
Bhola,Bhola,,,22.33654225,90.84390156623374
Narayanganj,Narayanganj,,,23.6238108,90.4999662
Bhola,Bhola,,,22.33654225,90.84390156623374
"Chirmari, Narsingdi",Chirmari,Narsingdi,,23.9156451,90.6981963
"Bogura-Rangpur Highway, Bogura",Bogura-Rangpur Highway,Bogura,,25.01331225,89.36920751937046
"Karnaphuli upazila, Chittagong",Karnaphuli upazila,Chittagong,,22.3364709,91.8260479
"EPZ, Chittagong",EPZ,Chittagong,,22.2721709,91.79013265
"South Pahartali, Chittagong",South Pahartali,Chittagong,,22.3364709,91.8260479
"Raipura, Narsingdi",Raipura,Narsingdi,,24.0139316,90.8252887
"Bhandaria, Pirojpur",Bhandaria,Pirojpur,,22.487683,90.0643776
"Banani, Dhaka",Banani,Dhaka,,23.790321,90.4076959
"Bangabandhu Bridge, Sirajganj",Bangabandhu Bridge,Sirajganj,,24.3998565,89.7771491
"Barisal-Dhaka road, Barisal",Barisal-Dhaka road,Barisal,,22.7497685,90.3220133
"Dhaka-Aricha Highway, Manikganj",Dhaka-Aricha Highway,Manikganj,,23.8455502,89.8198629
"Dhamrai, Dhaka",Dhamrai,Dhaka,,23.920162,90.2108702
"Biral Upazilla, Dinajpur",Biral Upazilla,Dinajpur,,25.6260712,88.6346228
"Ashulia, Savar",Ashulia,Savar,,23.9005799,90.3255674
"Dhopakandi Momtaj filling station, Siarjganj",Dhopakandi Momtaj filling station,Siarjganj,,24.4499588,89.7053513
"Mulibari rail crossing, Sirajganj",Mulibari rail crossing,Sirajganj,,24.4566253,89.7081281
"Shajahanpur, Bogura",Shajahanpur,Bogura,,24.776149750000002,89.39463288935237
"Manda upazila, Naogaon",Manda upazila,Naogaon,,24.808119150000003,88.95266066504688
"Notun Bazar Road, Noakhali",Notun Bazar Road,Noakhali,,22.5313205,91.1775744276286
"DAULATKHAN, BHOLA",DAULATKHAN,BHOLA,,22.6014346,90.7460114
"Lohagara Upazila, Chittagong",Lohagara Upazila,Chittagong,,22.3364709,91.8260479
"PANCHHARI, KHAGRACHHARI",PANCHHARI,KHAGRACHHARI,,23.1077999,91.9889955
"Bagha Upazilla, Rajshahi",Bagha Upazilla,Rajshahi,,24.4611511,88.6888703
"BHURUNGAMARI, KURIGRAM",BHURUNGAMARI,KURIGRAM,,26.1104617,89.6638474
"Sadar, Noakhali",Sadar,Noakhali,,22.5313205,91.1775744276286
"Natun Bazar area on Habiganj-Srimangal road, Habiganj",Natun Bazar area on Habiganj-Srimangal road,Habiganj,,24.5379212,91.5074608
"Sirajganj, Shahjadpur",Sirajganj,Shahjadpur,,23.7942813,90.42366379688129
"Hatirjheel, Dhaka",Hatirjheel,Dhaka,,23.74955495,90.39635798292835
"Dhaka-Khulna Highway, Gopalganj",Dhaka-Khulna Highway,Gopalganj,,22.9989007,89.8368053
"Gopinathpur, Gopalganj",Gopinathpur,Gopalganj,,23.1117118,89.7658148
"Sadar upazila, Gopalganj",Sadar upazila,Gopalganj,,23.0059418,89.8263479
"Sadar upazila, Gopalganj",Sadar upazila,Gopalganj,,23.0059418,89.8263479
"Sadar upazila, Gopalganj",Sadar upazila,Gopalganj,,23.0059418,89.8263479
"Sitakunda, Chittagong",Sitakunda,Chittagong,,22.617691200000003,91.65936073313767
"Sonargaon, Narayanganj",Sonargaon,Narayanganj,,23.6508699,90.60417555325738
"Kamarkhanda, Sirajganj",Kamarkhanda,Sirajganj,,24.4566253,89.7081281
"Sitakunda, Chittagong",Sitakunda,Chittagong,,22.617691200000003,91.65936073313767
"Sonargaon, Narayanganj",Sonargaon,Narayanganj,,23.6508699,90.60417555325738
"Paba,Rajshahi",Paba,Rajshahi,,24.458300350000002,88.6125766424444
"Kamarkhanda, Sirajganj",Kamarkhanda,Sirajganj,,24.4566253,89.7081281
"Chhagalnaiya,Feni",Chhagalnaiya,Feni,,23.0170829,91.40786619267402
Mawa-Narail highway,Mawa-Narail highway,,,24.4768783,90.2932426
"Siddhirganj,Narayanganj",Siddhirganj,Narayanganj,,23.688668,90.5132634
"Trishal, Mymensingh",Trishal,Mymensingh,,24.5824138,90.3945073
"Banani, Dhaka",Banani,Dhaka,,23.790321,90.4076959
"Dhamrai, Dhaka",Dhamrai,Dhaka,,23.920162,90.2108702
"Benapole, Jashore",Benapole,Jashore,,23.1493988,89.2028282
"Bhabanipur, Sadar, Gazipur",Bhabanipur,Sadar,Gazipur,23.9999521,90.4197487
"Baraigram,",Baraigram,,,24.3169873,89.1511254
"Kamarkhanda, Sirajganj",Kamarkhanda,Sirajganj,,24.4566253,89.7081281
"Kalikapur,Sirajganj",Kalikapur,Sirajganj,,23.3090103,91.2736732
"Baraigram, Natore",Baraigram,Natore,,24.3169873,89.1511254
"Baraigram, Natore",Baraigram,Natore,,24.3169873,89.1511254
